DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2017-0342-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2017-000084,,NPL,Nepal,Southern Asia,Asia,"Lalitpur, Palpa, Jhapa, Morang, Sunsari, Saptari, Bardia, Dang,Banke, Sirha, Sarlai, Bara, Sindhuli, Panchhthar, Rasuwa, Rupendehi, Baglung, Nawalparasi, Kailali, Kalikot, Doti, Dhading, Ramechhap, Syangia, Parbat, Pyuthan, Kaski, Terathum, Dolakha districts",Torrential rains,"Slide (land, mud, snow, rock)",Yes,No,No,,64676.5,Km2,27.941,83.878,,2017,8,10,2017,9,7,176,134,1700000,,1700134,,,,,595000,781480,76.13760371,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22359,""adm2_name"":""Karnali""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22362,""adm2_name"":""Dhawalagiri""},{""adm2_code"":22363,""adm2_name"":""Gandaki""},{""adm2_code"":22364,""adm2_name"":""Lumbini""}]","[{""gid_2"":""NPL.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bagmati""},{""gid_2"":""NPL.1.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Janakpur""},{""gid_2"":""NPL.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Narayani""},{""gid_2"":""NPL.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Koshi""},{""gid_2"":""NPL.2.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mechi""},{""gid_2"":""NPL.2.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sagarmatha""},{""gid_2"":""NPL.3.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Seti""},{""gid_2"":""NPL.4.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bheri""},{""gid_2"":""NPL.4.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Karnali""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""},{""gid_2"":""NPL.5.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Dhaualagiri""},{""gid_2"":""NPL.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gandaki""},{""gid_2"":""NPL.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lumbini""}]",2017-08-18,2025-12-20
2022-0590-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Darchula District (Sudurpashchim Provincel); Kanchanpur District (Sudurpashchim Province),Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,9,9,2022,9,17,15,11,500,,511,,,,,,,90.90269746,,"[{""gid_2"":""NPL.3.1_1"",""name_2"":""Mahakali""}]",2022-09-13,2026-02-11
2016-0275-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,"Rapti, Kerauja VDC, Gorkha, Lamjung (Gandaki); Malikarjun, Kakada, Sarmoli, Uku (Mahakali), Dolakha (Janakpur), Dhading, Nuwakot, Bhagawati, Kavre, Rasuwa (Bagmati)",Heavy rains,,No,No,No,,,Km2,,,"Adhikhola, Jyagdikhola, Kaligandagi",2016,6,29,2016,7,5,25,23,10000,,10023,,,,,,,74.54960299,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22357,""adm2_name"":""Mahakali""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22363,""adm2_name"":""Gandaki""}]","[{""gid_2"":""NPL.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bagmati""},{""gid_2"":""NPL.1.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Janakpur""},{""gid_2"":""NPL.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mahakali""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""},{""gid_2"":""NPL.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gandaki""}]",2016-08-05,2025-12-20
2014-0246-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NPL,Nepal,Southern Asia,Asia,"Sindhupalchok, Lalitpur areas (Bagmati district, Central province), Chitwan area (Narayani district, Central province)",Torrential rain,,No,No,No,,11578,Km2,,,,2014,7,1,2014,7,14,16,,2400,,2400,,,,,,,73.53357701,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22353,""adm2_name"":""Narayani""}]","[{""gid_2"":""NPL.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bagmati""},{""gid_2"":""NPL.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Narayani""}]",2014-07-25,2025-12-20
2023-0326-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,"Nuwakot, Okhaldhunga, Panchthar, Shankhuwasabha, Taplejung, Dhankuta and Ilam (Koshi province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,6,15,2023,6,19,36,6,1500,,1506,,,,,,,94.64462201,,,2023-06-26,2023-09-26
2004-0298-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NPL,Nepal,Southern Asia,Asia,"Morang, Sunsari areas (Koshi district, Eastern province), Jhapa area (Mechi district, Eastern province), Okhaldhunga, Saptari, Siraha, Udayapur areas (Sagarmatha district, Eastern province), Pyuthan, Dang areas (Rapti district, Mid Western province), Janakpur, Narayani districts (Central province)",Moonson rain,"Slide (land, mud, snow, rock)",Yes,No,No,797,37430,Km2,,,"Bagmati, Lal Bakaiy, Jhanjh, Tawa, Rapti, Samari, Koshi",2004,7,5,2004,7,13,185,15,800000,,800015,,,,,,,58.66980929,"[{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22360,""adm2_name"":""Rapti""}]","[{""gid_2"":""NPL.1.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Janakpur""},{""gid_2"":""NPL.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Narayani""},{""gid_2"":""NPL.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Koshi""},{""gid_2"":""NPL.2.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mechi""},{""gid_2"":""NPL.2.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sagarmatha""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""}]",2005-12-01,2025-12-20
2005-0556-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2005-000168,,NPL,Nepal,Southern Asia,Asia,"Kanchanpur, Baitadi, Dadeldhura, Darchula areas (Mahakali district, Far Western province)",Late monsoon rains,"Broken Dam/Burst bank|Slide (land, mud, snow, rock)",No,No,No,,8030,Km2,,,"Mahakali, Shirsha, Ragoon",2005,9,24,2005,9,29,51,,1600,,1600,,,,,,,60.66033175,"[{""adm2_code"":22357,""adm2_name"":""Mahakali""}]","[{""gid_2"":""NPL.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mahakali""}]",2006-02-28,2025-12-20
2006-0342-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NPL,Nepal,Southern Asia,Asia,"Banke area (Bheri district, Mid Western province), Kaski area (Gandaki district, Western province)",Monsoonal rain,,No,No,No,,,Km2,25.62,83.67,,2006,6,24,2006,8,3,,,,,,,,,,,,62.61719478,"[{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22363,""adm2_name"":""Gandaki""}]","[{""gid_2"":""NPL.4.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bheri""},{""gid_2"":""NPL.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gandaki""}]",2007-01-06,2025-12-20
2007-0307-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NPL,Nepal,Southern Asia,Asia,"Mahottari, Dhanusha, Sindhuli areas (Janakpur district, Central province), Jhapa area (Mechi district, Eastern province), Sunsari area (Koshi district, Eastern province), Nawalparasi, Gulmi areas (Lumbini district, Western province), Dang area (Rapti district, Mid Western province), Solukhumbu area (Sagarmatha district, Eastern province)",Monsoonal rain,"Slide (land, mud, snow, rock)",Yes,No,No,,56920,Km2,27.78,84.08,"Ratu, Bigahi rivers",2007,7,23,2007,10,2,214,48,640658,,640706,,,,,2400,3727,64.40346368,"[{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22364,""adm2_name"":""Lumbini""}]","[{""gid_2"":""NPL.1.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Janakpur""},{""gid_2"":""NPL.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Koshi""},{""gid_2"":""NPL.2.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mechi""},{""gid_2"":""NPL.2.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sagarmatha""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""},{""gid_2"":""NPL.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lumbini""}]",2008-03-11,2025-12-20
2008-0271-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2008-000104,,NPL,Nepal,Southern Asia,Asia,"Kusaha, Laukahi, Ghuski, Shripur, Haripur, Narsingha, Madhuban, Basantapur villages (Sunsari area, Koshi district, Eastern province), Dadeldhura area (Mahakali district, Far Western province), Siraha area (Sagarmatha district, Eastern province)","Early monsoon, dam break","Broken Dam/Burst bank|Slide (land, mud, snow, rock)",Yes,No,No,,,Km2,,,Saptakoshi river,2008,7,,2008,8,,65,,70000,,70000,,,,,29,43,66.87597418,"[{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22357,""adm2_name"":""Mahakali""}]","[{""gid_2"":""NPL.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Koshi""},{""gid_2"":""NPL.2.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sagarmatha""},{""gid_2"":""NPL.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mahakali""}]",2009-05-27,2025-12-20
2009-0434-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2009-000219,,NPL,Nepal,Southern Asia,Asia,"Kanchanpur, Baitadi, Dadeldhura areas (Mahakali district, Far Western province), Kailali, Doti, Achham, Bajhang areas (Seti district, Far Western province), Bardiya, Banke areas (Bheri district, Mid Western province), Dang area (Rapti district, Mid Western province), Myagdi area (Dhawalagiri district, Western province), Jumla, Kalikot areas (Karnali district, Mid Western province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,129700,Km2,29.81,80.76,,2009,10,4,2009,10,12,87,62,257724,,257786,,,5000,7503,60000,90038,66.63820107,"[{""adm2_code"":22357,""adm2_name"":""Mahakali""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22359,""adm2_name"":""Karnali""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22362,""adm2_name"":""Dhawalagiri""}]","[{""gid_2"":""NPL.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mahakali""},{""gid_2"":""NPL.3.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Seti""},{""gid_2"":""NPL.4.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bheri""},{""gid_2"":""NPL.4.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Karnali""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""},{""gid_2"":""NPL.5.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Dhaualagiri""}]",2010-12-14,2025-12-20
2008-0431-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2008-000168,,NPL,Nepal,Southern Asia,Asia,"Bardiya, Banke areas (Bheri district, Mid Western province), Dadeldhura, Kanchanpur areas (Mahakali district, Far Western province), Kailali, Doti areas (Seti district, Far Western province), Dang, Salyan areas (Rapti district, Mid Western province),",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,168100,Km2,,,,2008,9,22,2008,9,29,50,3,180000,,180003,,,,,,,66.87597418,"[{""adm2_code"":22357,""adm2_name"":""Mahakali""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22361,""adm2_name"":""Bheri""}]","[{""gid_2"":""NPL.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mahakali""},{""gid_2"":""NPL.3.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Seti""},{""gid_2"":""NPL.4.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bheri""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""}]",2009-01-13,2025-12-20
2012-0186-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2012-000071,,NPL,Nepal,Southern Asia,Asia,"Kaski area (Gandaki district, Western province)",,,No,No,No,,4395,Km2,28.524,83.83,Seti river,2012,5,5,2012,5,7,72,5,,,5,,,,,1000,1402,71.31508773,"[{""adm2_code"":22363,""adm2_name"":""Gandaki""}]","[{""gid_2"":""NPL.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gandaki""}]",2013-03-27,2025-12-20
2013-0576-NPL,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,NPL,Nepal,Southern Asia,Asia,"Jhapa area (Mechi district, Eastern province), Morang, Sunsari areas (Koshi district, Eastern province), Saptari area (Sagarmatha district, Eastern province), Rautahat area (Narayani district, Central province)",Heavy rains,,No,No,No,,,Km2,,,,2013,7,10,2013,8,31,119,6,,4314,4320,,,,,,,72.35973748,"[{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""}]","[{""gid_2"":""NPL.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Narayani""},{""gid_2"":""NPL.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Koshi""},{""gid_2"":""NPL.2.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mechi""},{""gid_2"":""NPL.2.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sagarmatha""}]",2014-03-21,2025-12-20
2014-0268-NPL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NPL,Nepal,Southern Asia,Asia,Far Western province,Excessive rainfall,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Sharda river,2014,7,16,2014,7,22,8,,,,,,,,,,,73.53357701,"[{""adm1_code"":2154,""adm1_name"":""Far Western""}]","[{""gid_1"":""NPL.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Far-Western""}]",2014-08-28,2025-12-20
2014-0272-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2014-000112,,NPL,Nepal,Southern Asia,Asia,"Jure, Mankhaa villages (Sindhupalchok area, Bagmati district, Central province), Lalitpur area (Bagmati district, Central province), Surkhet, Banke, Bardiya, Jajarkot areas (Bheri district, Mid Western province), Dang, Salyan, Rukum, Rolpa areas (Rapti district, Mid Western province), Kaski, Gorkha areas (Gandaki district, Western province), Achham area (Seti district, Far Western province), Chitwan area (Narayani district, Central province)",Mosoonal rain,"Epidemic|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2014,8,11,2014,8,25,294,149,184745,,184894,,,,,,,73.53357701,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22363,""adm2_name"":""Gandaki""}]","[{""gid_2"":""NPL.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bagmati""},{""gid_2"":""NPL.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Narayani""},{""gid_2"":""NPL.3.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Seti""},{""gid_2"":""NPL.4.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bheri""},{""gid_2"":""NPL.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rapti""},{""gid_2"":""NPL.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gandaki""}]",2014-08-28,2025-12-20
